danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.7,0.747,7,-6.341,1,0.0531,0.0783,1.18e-05,0.0681,0.82,98.946,audio_features,0hLkWUECYBHJrzWzdwBiFN,spotify:track:0hLkWUECYBHJrzWzdwBiFN,https://api.spotify.com/v1/tracks/0hLkWUECYBHJrzWzdwBiFN,https://api.spotify.com/v1/audio-analysis/0hLkWUECYBHJrzWzdwBiFN,262067,4
0.822,0.663,7,-8.286,1,0.0323,0.756,0.000133,0.1,0.92,130.003,audio_features,3ERkk5sP7HE27jONhN75z6,spotify:track:3ERkk5sP7HE27jONhN75z6,https://api.spotify.com/v1/tracks/3ERkk5sP7HE27jONhN75z6,https://api.spotify.com/v1/audio-analysis/3ERkk5sP7HE27jONhN75z6,242973,4
0.803,0.851,5,-5.102,1,0.0451,0.197,2.37e-06,0.0795,0.936,125.225,audio_features,46lIx69EL4rkLtlfqoomyw,spotify:track:46lIx69EL4rkLtlfqoomyw,https://api.spotify.com/v1/tracks/46lIx69EL4rkLtlfqoomyw,https://api.spotify.com/v1/audio-analysis/46lIx69EL4rkLtlfqoomyw,210427,4
0.338,0.113,7,-18.267,0,0.0384,0.981,0.172,0.108,0.211,103.745,audio_features,0R78Gcspaf108Pmg7L99gs,spotify:track:0R78Gcspaf108Pmg7L99gs,https://api.spotify.com/v1/tracks/0R78Gcspaf108Pmg7L99gs,https://api.spotify.com/v1/audio-analysis/0R78Gcspaf108Pmg7L99gs,447173,4
0.58,0.732,9,-4.702,1,0.0271,0.0331,0.684,0.137,0.664,106.114,audio_features,3aZBqJCnEESRFEgYyzLTc7,spotify:track:3aZBqJCnEESRFEgYyzLTc7,https://api.spotify.com/v1/tracks/3aZBqJCnEESRFEgYyzLTc7,https://api.spotify.com/v1/audio-analysis/3aZBqJCnEESRFEgYyzLTc7,224547,4
0.453,0.935,3,-8.49,1,0.0513,0.167,0.03,0.513,0.308,103.479,audio_features,2dyfo7lqKI7NtSAhUZwnoJ,spotify:track:2dyfo7lqKI7NtSAhUZwnoJ,https://api.spotify.com/v1/tracks/2dyfo7lqKI7NtSAhUZwnoJ,https://api.spotify.com/v1/audio-analysis/2dyfo7lqKI7NtSAhUZwnoJ,218667,4
0.78,0.737,9,-7.675,1,0.121,0.053,0.0,0.0746,0.927,101.474,audio_features,0tRIx0RKRBJOahoXlpM8uL,spotify:track:0tRIx0RKRBJOahoXlpM8uL,https://api.spotify.com/v1/tracks/0tRIx0RKRBJOahoXlpM8uL,https://api.spotify.com/v1/audio-analysis/0tRIx0RKRBJOahoXlpM8uL,289120,4
0.684,0.698,9,-6.219,1,0.041,0.332,5.16e-06,0.122,0.839,132.846,audio_features,67HxeUADW4H3ERfaPW59ma,spotify:track:67HxeUADW4H3ERfaPW59ma,https://api.spotify.com/v1/tracks/67HxeUADW4H3ERfaPW59ma,https://api.spotify.com/v1/audio-analysis/67HxeUADW4H3ERfaPW59ma,195107,4
0.661,0.964,2,-4.105,1,0.0364,0.0532,0.0,0.11,0.597,101.984,audio_features,6iCnJkKswtMYoSmT58HmEn,spotify:track:6iCnJkKswtMYoSmT58HmEn,https://api.spotify.com/v1/tracks/6iCnJkKswtMYoSmT58HmEn,https://api.spotify.com/v1/audio-analysis/6iCnJkKswtMYoSmT58HmEn,247453,4
0.546,0.907,4,-4.117,0,0.09,0.0135,0.00232,0.169,0.654,173.178,audio_features,5ECMRJbRlj0FZRg9cRg94m,spotify:track:5ECMRJbRlj0FZRg9cRg94m,https://api.spotify.com/v1/tracks/5ECMRJbRlj0FZRg9cRg94m,https://api.spotify.com/v1/audio-analysis/5ECMRJbRlj0FZRg9cRg94m,212400,4
0.35,0.974,8,-9.55,1,0.133,0.00146,0.446,0.0378,0.119,98.354,audio_features,46AtSShP5IL2Ls3uHpxmt8,spotify:track:46AtSShP5IL2Ls3uHpxmt8,https://api.spotify.com/v1/tracks/46AtSShP5IL2Ls3uHpxmt8,https://api.spotify.com/v1/audio-analysis/46AtSShP5IL2Ls3uHpxmt8,202040,4
0.391,0.884,11,-3.883,1,0.0329,0.000134,0.58,0.174,0.217,160.188,audio_features,1Z6NUe88dVXBDpWiWpSpie,spotify:track:1Z6NUe88dVXBDpWiWpSpie,https://api.spotify.com/v1/tracks/1Z6NUe88dVXBDpWiWpSpie,https://api.spotify.com/v1/audio-analysis/1Z6NUe88dVXBDpWiWpSpie,204880,4
0.641,0.715,2,-9.17,0,0.0469,0.336,0.00505,0.694,0.675,116.406,audio_features,0aDd0096feHh3zpcGgQY7n,spotify:track:0aDd0096feHh3zpcGgQY7n,https://api.spotify.com/v1/tracks/0aDd0096feHh3zpcGgQY7n,https://api.spotify.com/v1/audio-analysis/0aDd0096feHh3zpcGgQY7n,202507,4
